Detroit Pistons,98,New Orleans Pelicans,104,-6
Golden State Warriors,123,Utah Jazz,124,-1
Boston Celtics,125,Phoenix Suns,98,27
Los Angeles Clippers,110,Miami Heat,115,-5
Houston Rockets,109,San Antonio Spurs,118,-9
Denver Nuggets,121,Portland Trail Blazers,120,1
New York Knicks,121,Charlotte Hornets,102,19
Washington Wizards,111,Indiana Pacers,121,-10
Toronto Raptors,109,Orlando Magic,113,-4
Atlanta Hawks,116,Brooklyn Nets,120,-4
Sacramento Kings,106,Cleveland Cavaliers,95,11
Los Angeles Lakers,122,Philadelphia 76ers,133,-11
Detroit Pistons,103,Memphis Grizzlies,114,-11
Phoenix Suns,117,New Orleans Pelicans,128,-11
Minnesota Timberwolves,118,Utah Jazz,108,10
Milwaukee Bucks,106,Dallas Mavericks,105,1
San Antonio Spurs,115,Miami Heat,111,4
Brooklyn Nets,136,Indiana Pacers,133,3
Los Angeles Clippers,114,Washington Wizards,107,7
Oklahoma City Thunder,102,Cleveland Cavaliers,110,-8
Dallas Mavericks,115,Chicago Bulls,144,-29
Boston Celtics,107,Golden State Warriors,123,-16
Utah Jazz,110,Denver Nuggets,115,-5
Minnesota Timberwolves,118,Portland Trail Blazers,124,-6
Phoenix Suns,124,New Orleans Pelicans,129,-5
Los Angeles Lakers,124,Detroit Pistons,117,7
Sacramento Kings,99,New York Knicks,112,-13
Toronto Raptors,99,Orlando Magic,111,-12
Charlotte Hornets,113,Philadelphia 76ers,131,-18
Chicago Bulls,122,Atlanta Hawks,123,-1
Milwaukee Bucks,92,Houston Rockets,97,-5
Miami Heat,87,Indiana Pacers,82,5
Brooklyn Nets,112,Washington Wizards,100,12
Atlanta Hawks,103,Memphis Grizzlies,128,-25
Oklahoma City Thunder,114,Dallas Mavericks,121,-7
Cleveland Cavaliers,111,San Antonio Spurs,112,-1
Minnesota Timberwolves,112,Portland Trail Blazers,133,-21
Boston Celtics,93,Los Angeles Clippers,113,-20
Sacramento Kings,103,Philadelphia 76ers,123,-20
Golden State Warriors,111,Milwaukee Bucks,128,-17
Phoenix Suns,97,Houston Rockets,111,-14
New Orleans Pelicans,100,Utah Jazz,121,-21
Boston Celtics,122,Los Angeles Lakers,118,4
Detroit Pistons,141,Charlotte Hornets,134,7
Golden State Warriors,119,Indiana Pacers,125,-6
Atlanta Hawks,124,Orlando Magic,135,-11
New York Knicks,128,Chicago Bulls,120,8
Sacramento Kings,124,Toronto Raptors,123,1
Miami Heat,110,Oklahoma City Thunder,108,2
Portland Trail Blazers,128,San Antonio Spurs,112,16
Cleveland Cavaliers,105,Dallas Mavericks,90,15
Washington Wizards,128,Denver Nuggets,141,-13
Minnesota Timberwolves,88,Los Angeles Clippers,99,-11
Miami Heat,111,Houston Rockets,108,3
Milwaukee Bucks,101,Memphis Grizzlies,142,-41
New Orleans Pelicans,129,Utah Jazz,132,-3
Phoenix Suns,111,Los Angeles Clippers,95,16
Atlanta Hawks,125,Charlotte Hornets,106,19
Sacramento Kings,122,Detroit Pistons,113,9
Orlando Magic,117,Boston Celtics,109,8
Indiana Pacers,112,Cleveland Cavaliers,118,-6
Golden State Warriors,106,Philadelphia 76ers,118,-12
Brooklyn Nets,119,Toronto Raptors,116,3
New York Knicks,114,Chicago Bulls,91,23
Minnesota Timberwolves,112,Oklahoma City Thunder,110,2
Portland Trail Blazers,110,Dallas Mavericks,130,-20
Denver Nuggets,108,Los Angeles Lakers,126,-18
Washington Wizards,93,Los Angeles Clippers,102,-9
Miami Heat,111,San Antonio Spurs,101,10
Dallas Mavericks,99,Cleveland Cavaliers,100,-1
Portland Trail Blazers,107,Houston Rockets,95,12
Utah Jazz,97,Milwaukee Bucks,123,-26
Memphis Grizzlies,109,Oklahoma City Thunder,115,-6
New Orleans Pelicans,114,Phoenix Suns,118,-4
Orlando Magic,95,Boston Celtics,92,3
New York Knicks,109,Indiana Pacers,106,3
Brooklyn Nets,124,Detroit Pistons,121,3
Golden State Warriors,126,Toronto Raptors,110,16
Chicago Bulls,126,Minnesota Timberwolves,150,-24
Charlotte Hornets,115,Denver Nuggets,119,-4
Washington Wizards,117,Los Angeles Lakers,119,-2
Utah Jazz,99,Cleveland Cavaliers,122,-23
Toronto Raptors,101,Philadelphia 76ers,104,-3
Orlando Magic,125,Atlanta Hawks,126,-1
San Antonio Spurs,124,Houston Rockets,105,19
Dallas Mavericks,106,Minnesota Timberwolves,116,-10
Milwaukee Bucks,128,New Orleans Pelicans,119,9
Portland Trail Blazers,121,Oklahoma City Thunder,123,-2
Los Angeles Lakers,104,Phoenix Suns,130,-26
Charlotte Hornets,125,Sacramento Kings,119,6
Utah Jazz,126,Detroit Pistons,111,15
Chicago Bulls,113,Miami Heat,103,10
Golden State Warriors,94,New York Knicks,132,-38
Washington Wizards,113,Phoenix Suns,110,3
